recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
J. Allen Ratzlaff,{28545},{allenratzlaff},Kyhl Austin,25,660,{302562},{kyhlaustin},3218
Jess Miller-Camp,{351631},{jessm-c},Jared Gorrell,25,850,{395895},{wildlandblogger},12790
Shawn Taylor,{385784},{atlnature},David Vander Pluym,25,1941,{322026},{micrathene},1587
LSchare (she/her),{81779},{scubabruin},BJ Stacey,25,2397,{10285},{finatic},7080
Jessica Lowery,{298304},{jessicalowery},Joshua Lincoln,25,1843,{20198},{joshualincoln},7925
Brad Walker,{369892},{edgarallenhoopoe},Wayne Fidler,25,1700,{281081},{wayne_fidler},4663
Krissa Klein,{17695},{graysquirrel},catchang,25,3303,{179103},{catchang},6583
Ken Rosenthal,{192858},{krosenthal},margaretchatham,25,3725,{780510},{margaretchatham},549
Robby Deans,{18780},{hydaticus},Dr. Alison Northup,25,5132,{438488},{alisonnorthup},4651
QuestaGame,{196849},{questagame},Chris Harrison,25,21546,{6690},{sandboa},2332
QuestaGame,{196849},{questagame},alexb0000,25,21546,{741608},{alexb0000},3374
Karen and Mike,{616107},{mpkw},Krissa Klein,25,2028,{17695},{graysquirrel},11732
Jacob A. Gorneau,{606705},{jacobgorneau},Kyhl Austin,25,784,{302562},{kyhlaustin},3218
rachelf,{98129},{rachelf},Krissa Klein,24,244,{17695},{graysquirrel},11732
Jack Coulter,{1920837},{jackc210},benandkerstyn,24,1887,{462472},{benandkerstyn},3630
tmandalios,{1438640},{tmandalios},Edwin Bridges,24,258,{1389244},{edwinbridges},1871
Erika Mitchell,{12158},{erikamitchell},Joshua Lincoln,24,11788,{20198},{joshualincoln},7925
hikingsandiego,{228955},{hikingsandiego},David Jeffrey Ringer,24,7708,{792319},{djringer},3941
Pete Corradino,{288706},{peteacorr},Alan R. Franck,24,898,{1130299},{afranck},1945
Erika Mitchell,{12158},{erikamitchell},Greg Lasley,24,11788,{9706},{greglasley},9578
Bodo Nuñez Oberg,{318516},{bodofzt},Pedro Nájera Quezada,24,2585,{17401},{najera_tutor},7463
Eric M Powell,{64568},{ericpo1},Edwin Bridges,24,4946,{1389244},{edwinbridges},1871
Nancy Fox,{402494},{nancyfox},catchang,24,777,{179103},{catchang},6583
Remington Jackson,{205708},{rhjackso},Ken-ichi Ueda,24,1625,{1},{kueda},3328
Isaac Lord,{618478},{isaacthelord},Greg Lasley,24,1910,{9706},{greglasley},9578
David Torres,,,Ruth Ripley,24,2268,{762150},{ripleyrm},2477
Ben Keen,{1148374},{benkeen},Jim Johnson,24,1920,{24521},{jimjohnson},2771
Jared Shorma,{491170},{blazeclaw},James Bailey,24,3773,{6971},{silversea_starsong},8732
westmarinwild,{1645515},{westmarinwild},Krissa Klein,24,344,{17695},{graysquirrel},11732
Zoology123,{424633},{zoology123},Even Dankowicz,24,5908,{165078},{edanko},5571
Jordan Cochran,{247751},{jordandcochran},Lena Zappia,23,632,{348898},{amzapp},1682
Sierra Eco,{531265},{sergioescutia},roomthily,23,2735,{442615},{roomthily},11733
boromir,{490116},{boromir},Mikko Heikkinen,23,1386,{78963},{mikkohei13},373
Joe MDO,{349183},{joemdo},Noah Frade,23,5668,{277896},{noaboa},1227
Sequoia Janirella Wrens,{420537},{astrobirder},Arturo Santos,23,16472,,,2047
monicap273,{2027084},{monicap273},Joshua Lincoln,23,529,{20198},{joshualincoln},7925
Bodo Nuñez Oberg,{318516},{bodofzt},Ruth Ripley,23,2585,{762150},{ripleyrm},2477
Charles and Kathy Appell,{1478338},{charleshappell},Wayne Fidler,23,1716,{281081},{wayne_fidler},4663
Lauren Glevanik,{1653276},{lglevanik},Paul G. Johnson,23,3999,{21370},{euproserpinus},2246
Alex Abair,{434305},{alex_abair},Eric M Powell,23,932,{64568},{ericpo1},5540
Bridget McCall,{574644},{brirosa},Sam Kieschnick,23,326,{22589},{sambiology},15626
Nathan Peters,{616772},{nrpeters},John Plischke,23,2044,{477643},{johnplischke},1236
Richard Stovall,{967448},{arctic_mongoose},Greg Lasley,23,1722,{9706},{greglasley},9578
Richard Breisch,{261717},{richbreisch},Craig Denson,23,1260,{439621},{lowclouds},307
John C.,{1448882},{casseljs},pmk00001,23,4292,{204678},{pmk00001},1959
Brian Starzomski,{515751},{bstarzomski},Andrew Simon,23,10503,{37277},{chlorophilia},1668
Sam Kieschnick,{22589},{sambiology},Edwin Bridges,22,11465,{1389244},{edwinbridges},1871
Laura Shappell,{1482669},{ny_wetlander},Wayne Fidler,22,1180,{281081},{wayne_fidler},4663
Brenna Farrell,{521996},{brennafarrell},aaronr,22,5734,{1151838},{aaronr},3233
Daniel Onea,{659740},{dalien},Joshua Lincoln,22,2369,{20198},{joshualincoln},7925
Brenna Farrell,{521996},{brennafarrell},Joshua Lincoln,22,5734,{20198},{joshualincoln},7925
jbp316,{1636387},{jbp316},roomthily,22,884,{442615},{roomthily},11733
Nathaniel Schwartz,{1079820},{gnat79},Greg Lasley,22,1454,{9706},{greglasley},9578
Emmy Krapf,{1067109},{emmytang},Alan R. Franck,22,209,{1130299},{afranck},1945
Robert Webster,{42472},{xpda},Ray Simpson,22,5419,{274968},{rayray},2501
charley,{72880},{charley},Sam Kieschnick,22,4030,{22589},{sambiology},15626
Lauren Glevanik,{1653276},{lglevanik},Joshua Lincoln,22,3999,{20198},{joshualincoln},7925
safechrislaurie,{1042916},{safechrislaurie},C. A. Ivy,22,1019,{399516},{arbutterflynut},1848
mbstevens,{1748558},{mbstevens},Jim Johnson,22,490,{24521},{jimjohnson},2771
Catie Clune,{40229},{carrion},alexb0000,22,374,{741608},{alexb0000},3374
christine123,{103695},{christine123},edporopat,22,3362,{529327},{edporopat},1338
Reiner Richter,{222137},{reiner},Ethan Beaver,22,22539,{1401423},{ethanbeaver},1097
jariemames,{515096},{jariemames},j_appleget,22,1073,{472267},{j_appleget},3102
Alexander Ganse,{593380},{aganse},Paul B.,22,2255,,,874
Tom Palmer,{371538},{tpalmer},Bruce Holst,22,4158,{1366955},{bruceholst},540
Dave Holland,{1305207},{dave_holland},mnauky,22,4166,{1638987},{mnauky},4829
Damon Tighe,{3494},{damontighe},Paul G. Johnson,22,4825,{21370},{euproserpinus},2246
jaliya,{110360},{jaliya},roomthily,22,2985,{442615},{roomthily},11733
karsten_s,{1493700},{karsten_s},Lupoli Roland,22,1592,{1530852},{lupoli_roland},5207
hfricke,{1373543},{hfricke},Kyhl Austin,21,232,{302562},{kyhlaustin},3218
Dave Holland,{1305207},{dave_holland},Lupoli Roland,21,4166,{1530852},{lupoli_roland},5207
ethanroyal,{1442288},{ethanroyal},Kory Roberts,21,260,{22614},{kaptainkory},2581
Kory Roberts,{22614},{kaptainkory},bobbyfingers,21,2322,{769610},{bobbyfingers},6331
lisnel,{1050981},{lisnel},Joshua Lincoln,21,850,{20198},{joshualincoln},7925
